Distance from floor (m),Dynamic Pressure (kPa),Dynamic Pressure (Pa),Velocity (m/s)
0.1016,0.076,76,11.13919
0.127,0.075,75,11.06567
0.1524,0.074,74,10.99165
0.1778,0.071,71,10.76654
0.2032,0.065,65,10.30158
0.2286,0.057,57,9.646825
0.254,0.051,51,9.124983
0.2794,0.048,48,8.852533
0.3048,0.046,46,8.666143
0.3302,0.051,51,9.124983
0.3556,0.055,55,9.476071
0.381,0.055,55,9.476071
0.4064,0.064,64,10.22203
0.4318,0.068,68,10.53662
0.4572,0.076,76,11.13919
0.4826,0.077,77,11.21224
0.508000001,0.075,75,11.06567
0.533400001,0.085,85,11.7803
0.558800001,0.086,86,11.8494
0.584200001,0.085,85,11.7803
0.609600001,0.085,85,11.7803
,0.079,79,11.35692
